"name","high","ts","hour"
"BYND","132.48500061035156","05/14/2020 09:54:00","09"
"BYND","133.11000061035156","05/14/2020 10:02:00","10"
"BYND","135.85000610351562","05/14/2020 11:59:00","11"
"BYND","135.9199981689453","05/14/2020 12:08:00","12"
"BYND","134.60000610351562","05/14/2020 13:58:00","13"
"BYND","134.19000244140625","05/14/2020 14:03:00","14"
"BYND","134.2899932861328","05/14/2020 15:22:00","15"
"DDOG","64.79049682617188","05/14/2020 09:56:00","09"
"DDOG","63.130001068115234","05/14/2020 10:31:00","10"
"DDOG","63.749900817871094","05/14/2020 11:46:00","11"
"DDOG","62.974998474121094","05/14/2020 12:14:00","12"
"DDOG","63.09000015258789","05/14/2020 13:58:00","13"
"DDOG","62.93000030517578","05/14/2020 14:35:00","14"
"DDOG","63.95000076293945","05/14/2020 15:01:00","15"
"FB","201.08999633789062","05/14/2020 09:54:00","09"
"FB","200.83990478515625","05/14/2020 10:02:00","10"
"FB","202.8300018310547","05/14/2020 11:01:00","11"
"FB","202.73500061035156","05/14/2020 12:03:00","12"
"FB","204.14999389648438","05/14/2020 13:08:00","13"
"FB","203.55999755859375","05/14/2020 14:50:00","14"
"FB","204.1699981689453","05/14/2020 15:01:00","15"
"NFLX","443.1499938964844","05/14/2020 09:54:00","09"
"NFLX","441.264404296875","05/14/2020 10:58:00","10"
"NFLX","433.625","05/14/2020 11:59:00","11"
"NFLX","434.6465148925781","05/14/2020 12:00:00","12"
"NFLX","439.17999267578125","05/14/2020 13:19:00","13"
"NFLX","438.6400146484375","05/14/2020 14:42:00","14"
"NFLX","438.55999755859375","05/14/2020 15:18:00","15"
"OKTA","174.1300048828125","05/14/2020 09:54:00","09"
"OKTA","175.77000427246094","05/14/2020 10:02:00","10"
"OKTA","177.1300048828125","05/14/2020 11:00:00","11"
"OKTA","176.46499633789062","05/14/2020 12:17:00","12"
"OKTA","176.2899932861328","05/14/2020 13:53:00","13"
"OKTA","176.2550048828125","05/14/2020 14:05:00","14"
"OKTA","176.57249450683594","05/14/2020 15:53:00","15"
"PINS","15.899999618530273","05/14/2020 09:54:00","09"
"PINS","15.899999618530273","05/14/2020 10:02:00","10"
"PINS","16.524999618530273","05/14/2020 11:59:00","11"
"PINS","16.565000534057617","05/14/2020 12:02:00","12"
"PINS","16.799999237060547","05/14/2020 13:59:00","13"
"PINS","16.735000610351562","05/14/2020 14:02:00","14"
"PINS","16.875","05/14/2020 15:00:00","15"
"SHOP","736.010009765625","05/14/2020 09:54:00","09"
"SHOP","738.03271484375","05/14/2020 10:02:00","10"
"SHOP","743.7785034179688","05/14/2020 11:00:00","11"
"SHOP","744.4149780273438","05/14/2020 12:02:00","12"
"SHOP","749.3699951171875","05/14/2020 13:59:00","13"
"SHOP","744.7999877929688","05/14/2020 14:35:00","14"
"SHOP","749.030029296875","05/14/2020 15:15:00","15"
"SNAP","16.5049991607666","05/14/2020 09:56:00","09"
"SNAP","16.489999771118164","05/14/2020 10:02:00","10"
"SNAP","16.68000030517578","05/14/2020 11:47:00","11"
"SNAP","16.68000030517578","05/14/2020 12:08:00","12"
"SNAP","16.81999969482422","05/14/2020 13:58:00","13"
"SNAP","16.735000610351562","05/14/2020 14:06:00","14"
"SNAP","16.825000762939453","05/14/2020 15:41:00","15"
"SQ","71.37999725341797","05/14/2020 09:54:00","09"
"SQ","71.55000305175781","05/14/2020 10:02:00","10"
"SQ","74.79000091552734","05/14/2020 11:59:00","11"
"SQ","74.88999938964844","05/14/2020 12:02:00","12"
"SQ","76.02999877929688","05/14/2020 13:59:00","13"
"SQ","75.68000030517578","05/14/2020 14:02:00","14"
"SQ","77.01000213623047","05/14/2020 15:18:00","15"
"TTD","282.18719482421875","05/14/2020 09:54:00","09"
"TTD","281.7749938964844","05/14/2020 10:00:00","10"
"TTD","289.2099914550781","05/14/2020 11:59:00","11"
"TTD","288.7300109863281","05/14/2020 12:08:00","12"
"TTD","292.18499755859375","05/14/2020 13:05:00","13"
"TTD","291.4132080078125","05/14/2020 14:07:00","14"
"TTD","295.54998779296875","05/14/2020 15:01:00","15"
